% #Source	#Target	#Weight
Hari.Nagar.Clock.Tower	Hari.Nagar.Depot	2
Hari.Nagar.Clock.Tower	Junk.Market	3
Shakti.Nagar	Gulabi.Bagh.Dda.Flats	1
Shakti.Nagar	Gur.Mandi	1
Shakti.Nagar	Maurice.Nagar	2
Shakti.Nagar	Kamla.Nagar	1
Shakti.Nagar	Gulabi.Bagh	2
Shakti.Nagar	Bharat.Nagar.Xing	3
Shakti.Nagar	Khalsa.College	1
Gulabi.Bagh.Dda.Flats	Kendriya.Terminal	1
Upper.Ridge.Road	Sir.Ganga.Ram.Hospital	1
Upper.Ridge.Road	Moti.Nagar	1
Upper.Ridge.Road	Patel.Chowk	1
Sir.Ganga.Ram.Hospital	Sadhu.Vasvani.Marg	1
Sadhu.Vasvani.Marg	Faiz.Road	1
Sadhu.Vasvani.Marg	Mandir.Marg	1
Sadhu.Vasvani.Marg	Karol.Bagh.Metro.Station	3
Sadhu.Vasvani.Marg	Telephone.Exchange	2
Sadhu.Vasvani.Marg	Telephone.Exchange.(Pusa.Road)	1
DB.Gupta.Market	Faiz.Road	1
DB.Gupta.Market	Sarai.Rohilla	4
DB.Gupta.Market	Dev.Nagar	11
DB.Gupta.Market	Anand.Parvat	4
DB.Gupta.Market	Karol.Bagh.Terminal	7
DB.Gupta.Market	Karol.Bagh	1
DB.Gupta.Market	West.Patel.Nagar	1
DB.Gupta.Market	Punchkuain.Road	1
DB.Gupta.Market	Kikar.Wala.Chowk	3
Dev.Nagar	Sarai.Rohilla	1
Dev.Nagar	DB.Gupta.Market	7
Dev.Nagar	Anand.Parvat	8
Dev.Nagar	RSS.Sang.(Karol.Bagh)	1
Dev.Nagar	Keekarwala.Chowk	2
Anand.Parvat	Sarai.Rohilla	12
Anand.Parvat	DB.Gupta.Market	2
Anand.Parvat	Dev.Nagar	7
New.Delhi.Railway.Station	Yamuna.Bazar	1
New.Delhi.Railway.Station	Tees.Hazari	2
New.Delhi.Railway.Station	I.P.College	2
New.Delhi.Railway.Station	Red.Fort	8
New.Delhi.Railway.Station	Mori.Gate/.ISBT	4
I.P.College	ISBT	2
I.P.College	Old.Secretariat	35
I.P.College	STA.Office	1
I.P.College	Kashmere.Gate	1
Old.Secretariat	ISBT	2
Old.Secretariat	I.P.College	4
Old.Secretariat	Mall.Road	33
Old.Secretariat	INS.Hostel	1
Old.Secretariat	Balak.Ram.Hospital	2
Old.Secretariat	Khyberpass	1
Old.Secretariat	Old.Chandrawal	1
Mall.Road	Old.Secretariat	4
Mall.Road	INS.Hostel	23
Mall.Road	RR.Lines	1
Mall.Road	Shastri.Bazar	2
Mall.Road	Br.Hospital	5
Mall.Road	Balak.Ram.Hospital	11
Mall.Road	International.Students	1
Mall.Road	Old.Chandrawal	1
Mall.Road	Sadar.Thana	1
Mall.Road	Gopi.Nath.Bzr	2
INS.Hostel	Mall.Road	6
INS.Hostel	GTB.Nagar	22
INS.Hostel	Patel.Chest	2
INS.Hostel	Maurice.Nagar	1
INS.Hostel	Timar.Pur	1
GTB.Nagar	Old.Secretariat	2
GTB.Nagar	Mall.Road	1
GTB.Nagar	INS.Hostel	6
GTB.Nagar	Model.Town-II	25
GTB.Nagar	Azad.Pur	1
GTB.Nagar	New.Delhi.Railway.Station.Gate-II	1
GTB.Nagar	Dhakka	5
GTB.Nagar	Dhakka.Village	4
GTB.Nagar	BBM.Depot	3
Model.Town-II	GTB.Nagar	6
Model.Town-II	Azad.Pur	22
Model.Town-II	Ashok.Vihar.Xing	1
Model.Town-II	Adarsh.Nagar	1
Model.Town-II	Shalimar.Bagh.AE-Blk	1
Model.Town-II	Dhakka.Village	1
Azad.Pur	Model.Town-II	6
Azad.Pur	Shalimar.Bagh.Xing	12
Azad.Pur	Ashok.Vihar.Xing	2
Azad.Pur	Prem.Bari.Pul	1
Azad.Pur	Adarsh.Nagar	47
Azad.Pur	Singhu.Border	1
Azad.Pur	Kewal.Park	1
Shalimar.Bagh.Xing	Azad.Pur	8
Shalimar.Bagh.Xing	Ashok.Vihar.Xing	11
Shalimar.Bagh.Xing	Shalimar.Bagh.AE-Blk	3
Ashok.Vihar.Xing	Model.Town-II	1
Ashok.Vihar.Xing	Azad.Pur	1
Ashok.Vihar.Xing	Shalimar.Bagh.Xing	7
Ashok.Vihar.Xing	Prem.Bari.Pul	10
Ashok.Vihar.Xing	Wazir.Pur.Depot	3
Ashok.Vihar.Xing	Adarsh.Nagar	2
Ashok.Vihar.Xing	Shalimar.Bagh.AE-Blk	1
Prem.Bari.Pul	Shalimar.Bagh.Xing	1
Prem.Bari.Pul	Ashok.Vihar.Xing	4
Prem.Bari.Pul	Wazir.Pur.Depot	9
Prem.Bari.Pul	Britania.Biscuit.Factory	1
Prem.Bari.Pul	Ggs.Colege	1
Wazir.Pur.Depot	Karam.Pura.Terminal	1
Wazir.Pur.Depot	Ashok.Vihar.Xing	3
Wazir.Pur.Depot	Prem.Bari.Pul	5
Wazir.Pur.Depot	Maurya.Enclave.KD-Blk	2
Wazir.Pur.Depot	Kohat.Enclave	5
Wazir.Pur.Depot	Pitam.Pura.JD-Blk	3
Wazir.Pur.Depot	Britania.Biscuit.Factory	3
Wazir.Pur.Depot	Kohat.Metro.Stn	1
Wazir.Pur.Depot	Dda.Office.Pitam.Pura	2
Wazir.Pur.Depot	Pitam.Pura.KD-Blk	1
Wazir.Pur.Depot	Maurya.Enclave.JD-Blk	1
Maurya.Enclave.KD-Blk	Pitam.Pura.Power.House	1
Maurya.Enclave.KD-Blk	alpha	1
Maurya.Enclave.KD-Blk	Power.House	1
Maurya.Enclave.KD-Blk	Ru.Block.Pitam.Pura	2
Pitam.Pura.Power.House	Madhuvan.Chowk	2
Madhuvan.Chowk	alpha	7
Madhuvan.Chowk	Saraswati.Vihar.C-Blk	11
Madhuvan.Chowk	Pitam.Pura.JD-Blk	2
Madhuvan.Chowk	Power.House	1
Madhuvan.Chowk	Sect-78.Rohini	1
Madhuvan.Chowk	Paschim.Vihar.Power.House	1
alpha	Madhuvan.Chowk	2
alpha	Rohini.Sec-9	3
alpha	Rohini.Pkt-D2.Sec-15	1
alpha	Rohini.Sec-3.(Avantika)	1
alpha	Rohini.Sector-7	2
alpha	Rohini.Sec-6	2
Rohini.Sec-9	Rohini.Depot	2
Rohini.Sec-9	Vidya.Vihar.Marg.Xing	1
Rohini.Depot	Rithala.Xing	2
Rohini.Depot	Rohini.Sec-11.Xing	1
Rithala.Xing	Vishram.Chowk	1
Rithala.Xing	Rithala.Village	1
Vishram.Chowk	Avantika	1
Avantika	Tri.Nagar.Jai.Mata.Market	1
Avantika	Avantika.Xing	1
Avantika	Bawana	1
Avantika	Rohini.Sec-3.(Avantika)	1
Avantika.Xing	Mangol.Puri.Y-Blk	3
Avantika.Xing	Mangolpur.Khurd	1
Avantika.Xing	Budh.Vihar	4
Avantika.Xing	Pooth.Kalan	1
Avantika.Xing	Mangol.Puri.B-Blk	1
Mangol.Puri.Y-Blk	Jalebi.Chowk	1
Mangol.Puri.Y-Blk	Mangol.Puri.S-Blk	2
Jalebi.Chowk	E-blk.Sultan.Puri	1
Jalebi.Chowk	Sultan.Puri	3
E-blk.Sultan.Puri	New.Delhi.Railway.Station.Gate-II	1
New.Delhi.Railway.Station.Gate-II	Regal.Cinema	2
New.Delhi.Railway.Station.Gate-II	Pahar.Ganj.Police.Station	1
New.Delhi.Railway.Station.Gate-II	Jantar.Mantar	1
New.Delhi.Railway.Station.Gate-II	Turkman.Gate	5
New.Delhi.Railway.Station.Gate-II	Super.Bazar.CP	6
Jantar.Mantar	Kendriya.Terminal	1
Jantar.Mantar	Patel.Chowk	1
Jantar.Mantar	Palika.Kendra	2
Jantar.Mantar	Akashvani.Bhawan	11
Jantar.Mantar	Tolstoy.Marg.Xing	9
Railway.Colony	Dhaula.Kuan	4
Railway.Colony	Taj.Hotel	11
Dhaula.Kuan	Mall.Road	1
Dhaula.Kuan	RR.Lines	17
Dhaula.Kuan	Nanak.Pura	7
Dhaula.Kuan	Moti.Bagh	1
Dhaula.Kuan	R.K.Puram.Sec-1	1
Dhaula.Kuan	Minto.Road.Terminal	1
Dhaula.Kuan	Golf.Club	13
Dhaula.Kuan	Corporation.Office	1
