% #source	#target	#weight
585	822	2.0
586	660	2.0
586	889	1.0
586	890	1.0
587	659	13.0
587	1135	1.0
589	590	2.0
589	1134	2.0
591	658	2.0
592	1126	1.0
593	986	2.0
593	1126	3.0
594	740	1.0
594	786	2.0
594	898	1.0
594	1031	5.0
595	786	1.0
596	786	1.0
597	999	2.0
597	1016	1.0
598	730	2.0
598	1129	2.0
599	828	1.0
600	828	1.0
600	1123	3.0
602	1105	1.0
603	605	2.0
603	915	1.0
603	1155	1.0
604	605	1.0
604	915	1.0
605	606	6.0
605	607	1.0
605	688	40.0
605	753	3.0
605	894	2.0
605	995	1.0
605	1088	1.0
605	1155	10.0
606	915	5.0
606	1165	4.0
607	1165	1.0
607	1174	1.0
610	920	1.0
612	752	1.0
614	1125	2.0
616	713	1.0
618	953	18.0
620	996	76.0
620	1075	72.0
621	1181	2.0
623	624	1.0
623	857	1.0
625	1140	2.0
626	809	1.0
629	663	4.0
629	892	4.0
630	1086	1.0
631	778	1.0
631	883	1.0
632	776	1.0
634	1027	1.0
635	636	1.0
635	638	1.0
635	679	2.0
635	704	1.0
636	637	2.0
636	638	1.0
636	781	4.0
639	643	1.0
639	1059	39.0
640	642	1.0
640	858	10.0
640	903	10.0
641	642	2.0
641	858	35.0
641	903	35.0
642	858	9.0
642	903	10.0
644	1059	1.0
645	1059	4.0
648	795	4.0
648	796	4.0
648	797	4.0
648	840	1.0
648	938	41.0
648	965	4.0
648	1015	7.0
648	1047	3.0
649	699	1.0
650	805	1.0
651	1087	1.0
651	1088	47.0
652	684	1.0
654	664	3.0
654	965	3.0
655	805	21.0
655	858	25.0
656	1016	1.0
656	1214	1.0
657	857	1.0
657	1148	1.0
658	822	2.0
659	822	13.0
659	824	1.0
661	805	2.0
666	1204	6.0
667	668	3.0
667	695	3.0
671	709	1.0
671	711	1.0
671	996	1.0
671	997	3.0
672	745	2.0
672	1070	2.0
673	913	1.0
673	1043	1.0
675	981	1.0
676	754	2.0
676	1065	2.0
678	1198	1.0
679	872	1.0
679	979	1.0
680	877	1.0
683	808	1.0
685	915	1.0
685	1155	1.0
689	745	6.0
689	1070	6.0
690	691	2.0
690	746	2.0
691	1070	2.0
692	967	1.0
692	1201	4.0
692	1213	4.0
696	697	2.0
696	751	2.0
697	832	3.0
697	970	2.0
697	1032	4.0
699	846	20.0
699	1061	1.0
702	749	17.0
702	1194	17.0
703	903	1.0
703	1218	2.0
704	1147	1.0
706	892	5.0
706	1168	5.0
707	780	16.0
707	1070	16.0
707	1218	2.0
708	871	1.0
708	984	1.0
709	1013	1.0
709	1212	1.0
713	1185	1.0
714	881	4.0
714	1049	5.0
717	816	1.0
719	1173	2.0
721	888	4.0
721	999	21.0
721	1133	1.0
722	1043	1.0
723	1076	1.0
724	1087	1.0
724	1088	5.0
725	726	1.0
729	731	3.0
730	1146	4.0
732	987	3.0
733	849	1.0
733	1011	1.0
735	895	1.0
735	1016	54.0
735	1023	1.0
735	1097	5.0
735	1109	1.0
735	1110	10.0
735	1214	20.0
736	1109	1.0
737	1109	8.0
737	1207	10.0
738	928	5.0
738	1193	1.0
739	948	1.0
741	1059	1.0
742	907	39.0
742	951	33.0
742	976	1.0
744	1019	3.0
744	1175	2.0
746	885	2.0
748	1105	17.0
750	1036	1.0
753	817	20.0
753	894	5.0
754	756	1.0
754	757	3.0
754	761	33.0
754	998	1.0
754	1075	69.0
755	756	1.0
756	811	2.0
757	1169	14.0
758	907	7.0
759	862	1.0
759	907	1.0
760	907	2.0
761	762	1.0
761	865	10.0
762	989	1.0
763	1107	5.0
763	1211	1.0
765	937	4.0
765	1146	4.0
770	926	6.0
771	803	14.0
771	1049	14.0
775	846	3.0
776	953	1.0
777	839	2.0
777	947	5.0
777	1016	2.0
778	1003	2.0
780	1041	3.0
784	832	3.0
784	992	3.0
788	789	1.0
788	996	5.0
789	1062	1.0
792	919	3.0
795	1154	6.0
796	1207	4.0
797	1154	7.0
797	1207	2.0
800	1068	1.0
800	1153	1.0
801	892	1.0
802	1185	1.0
803	926	6.0
803	1117	2.0
805	1039	19.0
806	1016	41.0
806	1097	10.0
808	919	1.0
808	974	1.0
808	1063	1.0
808	1064	1.0
809	863	1.0
812	1128	1.0
814	1190	3.0
816	817	1.0
817	963	3.0
817	964	16.0
821	1134	1.0
822	1023	17.0
823	993	1.0
824	921	3.0
824	1037	2.0
824	1134	40.0
826	881	4.0
829	1121	2.0
833	843	1.0
833	915	1.0
834	1018	4.0
834	1175	4.0
836	1196	1.0
838	1063	64.0
839	906	1.0
839	1014	24.0
839	1197	14.0
841	1184	1.0
842	1079	1.0
843	893	1.0
845	990	2.0
846	1140	23.0
851	971	1.0
852	1145	1.0
854	876	1.0
854	979	2.0
854	980	1.0
854	981	2.0
855	979	1.0
855	980	1.0
858	902	4.0
858	903	1.0
858	1128	33.0
859	1198	1.0
860	999	7.0
861	898	1.0
862	1104	1.0
863	879	1.0
864	945	1.0
866	1175	1.0
866	1176	1.0
867	964	2.0
869	1088	3.0
872	876	1.0
872	877	1.0
873	932	7.0
873	982	1.0
873	1136	1.0
879	1098	8.0
883	1079	2.0
885	886	2.0
886	974	2.0
888	1197	4.0
890	1193	1.0
891	1008	1.0
891	1202	1.0
894	915	6.0
896	1097	3.0
896	1112	3.0
896	1216	8.0
897	1132	1.0
897	1199	1.0
899	915	1.0
903	1090	2.0
903	1166	1.0
908	1109	36.0
908	1207	2.0
911	1110	7.0
912	913	1.0
913	1035	3.0
913	1095	12.0
914	923	89.0
914	991	2.0
919	1015	11.0
919	1154	11.0
920	1128	1.0
923	991	7.0
923	1014	89.0
924	991	4.0
925	955	1.0
925	1063	2.0
928	1138	4.0
930	1121	5.0
937	1138	4.0
938	965	2.0
938	1207	34.0
940	1109	4.0
942	1093	1.0
945	1008	11.0
948	996	1.0
948	997	6.0
951	961	30.0
951	962	2.0
952	1196	1.0
957	1123	1.0
957	1162	1.0
958	1016	3.0
959	1121	1.0
961	987	1.0
964	1211	4.0
970	1037	1.0
970	1038	6.0
972	982	2.0
972	1032	2.0
974	1113	2.0
