% #Source	#Target	#Weight	
Civil.Hospital.Corner	Cancer.Hospital	1.0
Government.Press	Dufnala	2.0
Government.Press	Vitthal.Nagar	1.0
Government.Press	Navroji.Hall	2.0
Dufnala	Circuit.House	2.0
Dufnala	Camp.Sadar.Bazar	1.0
Dufnala	Navroji.Hall	2.0
Dufnala	Camp.Hanuman	3.0
Dufnala	Telephone.Exchange.(Sadar.bazar)	1.0
Circuit.House	Dufnala	3.0
Circuit.House	Shahibag.Underbridge	4.0
Circuit.House	Telephone.Exchange.(Sadar.bazar)	1.0
Shahibag.Underbridge	Subhash.Bridge.Circle	2.0
Shahibag.Underbridge	Girdharnagar	5.0
Shahibag.Underbridge	Circuit.House	4.0
Shahibag.Underbridge	Police.Comissioner.Office	3.0
Shahibag.Underbridge	Police.Stadium	1.0
Shahibag.Underbridge	Sujata.Flats	1.0
Umang.Park.Society	Radhaswami.Satsang	1.0
Maganpura.Chowk	Ranip	1.0
Sardar.Patel.Chowk	Ranip	1.0
Sardar.Patel.Chowk	Gayatri.Vidyalay	1.0
Sardar.Patel.Chowk	Noble.School	1.0
Sardar.Patel.Chowk	Shivaji.Park	1.0
Gayatri.Vidyalay	Lal.Darwaja	1.0
Gayatri.Vidyalay	Ranip	1.0
Gayatri.Vidyalay	Sardar.Patel.Chowk	1.0
Gayatri.Vidyalay	Natraj.Apartment	1.0
Natraj.Apartment	Ramwadi	1.0
Natraj.Apartment	Gayatri.Vidyalay	1.0
Nirnaynagar.Garnala	Ramwadi	1.0
Nirnaynagar.Garnala	Nava.Wadaj	2.0
Nirnaynagar.Garnala	Deshwali.Society	2.0
Nirnaynagar.Garnala	Chandlodia	1.0
Nirnaynagar.Garnala	K.K.Nagar	2.0
Nava.Wadaj	Nirnaynagar.Garnala	4.0
Nava.Wadaj	Nava.Wadaj	1.0
Nava.Wadaj	Maninagar	1.0
Nava.Wadaj	Chandlodia	2.0
Nava.Wadaj	Naroda.Terminus	1.0
Nava.Wadaj	Bhimjipura	2.0
Nava.Wadaj	Ramapir.Mandir	2.0
Nava.Wadaj	Akhbar.Nagar	1.0
Nava.Wadaj	Nirnay.Nagar	1.0
Maninagar	Lal.Darwaja	1.0
Maninagar	Pushpkunj	1.0
Maninagar	Jawahar.Chowk.(Maninagar)	1.0
Maninagar	Krishnabag	9.0
Maninagar	Maninagar.Railway.Crossing	2.0
Maninagar	Nathalal.Jagda.Bridge	1.0
Maninagar	Maninagar.Cross.Road	3.0
Maninagar	Maninagar.Railway.Colony	1.0
Maninagar	Dakshini.Society	2.0
Maninagar	Rambag	1.0
Maninagar	Punit.Ashram	1.0
Maninagar	Shrinand.Flat	1.0
Maninagar	Naroda.Terminus	1.0
Maninagar	L.G.Hospital	1.0
Maninagar.Cross.Road	Krishnabag	1.0
Maninagar.Cross.Road	L.G.Corner	2.0
Maninagar.Cross.Road	Nathalal.Jagda.Bridge	1.0
Railway.Colony	Maninagar.Railway.Colony	1.0
Railway.Colony	Sabarmati.D-Cabin	2.0
Railway.Colony	Jawahar.Chowk	1.0
Maninagar.Railway.Colony	Maniyasa	1.0
Maninagar.Railway.Colony	Laxminarayan.Society	1.0
Laxminarayan.Society	Bombay.Housing	1.0
Laxminarayan.Society	Dr.Shyamprasad.Mukherjee.Chowk	1.0
Laxminarayan.Society	Gujarat.Housing.Board	1.0
Laxminarayan.Society	Siyon.Nagar	1.0
Laxminarayan.Society	Khokhra	1.0
Jashodanagar.Cross.Road	Trikampura.Patiya	1.0
Jashodanagar.Cross.Road	Trikampura	2.0
Jashodanagar.Cross.Road	Kans	1.0
Jashodanagar.Cross.Road	Jashodanagar.Tekra	1.0
Jashodanagar.Cross.Road	Isanpur.Cross.Road	3.0
Trikampura	F.road	1.0
Trikampura	Nika.Tubes	1.0
F.road	Shri.Krishna.Roller.Mills	1.0
Shri.Krishna.Roller.Mills	Vinjol.Water.Tank	1.0
Shri.Krishna.Roller.Mills	Framo.Chemicals	1.0
Shri.Krishna.Roller.Mills	Vatva.Industrial.Township	1.0
Shri.Krishna.Roller.Mills	Shala.Mandir	1.0
Vinjol.Water.Tank	Ayojan.Nagar	1.0
Vinjol.Water.Tank	G.I.D.C.Corner	1.0
Vinjol.Water.Tank	Vinjol.Gam	1.0
Ayojan.Nagar	Vinobabhave.Nagar	1.0
Ayojan.Nagar	Sharda.Society	1.0
Ayojan.Nagar	Sukhipura	1.0
Ayojan.Nagar	Alka.Park	1.0
Ayojan.Nagar	Manekbag.Society	1.0
Ayojan.Nagar	Khokhra	1.0
Vinobabhave.Nagar	Maninagar	1.0
Vinobabhave.Nagar	Butbhavani.Mata.Mandir	1.0
Hathijan.Vad	Vivekanand.Nagar	1.0
Muktajivan.Vidya.Mandir	Ashapuri.Society	2.0
Ashapuri.Society	Dakshini.Society	3.0
Ashapuri.Society	Chitrakoot.Society	1.0
Dakshini.Society	Maninagar.Railway.Crossing	1.0
Dakshini.Society	Maninagar	5.0
Dakshini.Society	Ghodasar	1.0
Dakshini.Society	Avkar.Hall	3.0
Rambag	Pushpkunj	5.0
Rambag	Krishnabag	2.0
Rambag	Maninagar.Terminus	1.0
Rambag	Maninagar	1.0
Rambag	Football.Ground	1.0
Vishwanath.Mahadev	Pushpkunj	1.0
Vishwanath.Mahadev	Laxminarayan.Society	1.0
Vishwanath.Mahadev	Abad.Dairy	1.0
Abad.Dairy	Vishwanath.Mahadev	1.0
Abad.Dairy	Raipur	2.0
Abad.Dairy	Raipur.Darwaja	6.0
Abad.Dairy	Ramanand.Kot	5.0
Raipur	Sarangpur	2.0
Raipur	Khari.River	1.0
Cancer.Hospital	Civil.Hospital	2.0
Cancer.Hospital	M.L.A.Quarters	4.0
M.L.A.Quarters	Civil.Hospital	4.0
M.L.A.Quarters	Cancer.Hospital	1.0
M.L.A.Quarters	Mental.Corner	7.0
M.L.A.Quarters	Kalapi.Nagar	1.0
M.L.A.Quarters	Umiya.Nagar	5.0
Mental.Corner	Government.Quarters	1.0
Mental.Corner	M.L.A.Quarters	3.0
Mental.Corner	Parmeshwar.Park	2.0
Mental.Corner	Tata.Nagar	3.0
Mental.Corner	Wicket	1.0
Parmeshwar.Park	Nakoda.Apartment	3.0
Parmeshwar.Park	Officers.Quarters	1.0
Nakoda.Apartment	Parmeshwar.Park	1.0
Nakoda.Apartment	Vitthal.Nagar	3.0
Vitthal.Nagar	Government.Press	3.0
Vitthal.Nagar	Nakoda.Apartment	1.0
Camp.Sadar.Bazar	Sardarnagar	1.0
Camp.Sadar.Bazar	Talavadi	2.0
Camp.Sadar.Bazar	New.Airport	1.0
Camp.Sadar.Bazar	Sardarnagar.Approach	1.0
Sardarnagar	Lal.Darwaja	1.0
Sardarnagar	Sarangpur	1.0
Sardarnagar	Talavadi	1.0
Sardarnagar	Ambawadi.Police.Station	1.0
Talavadi	Sardarnagar	2.0
Talavadi	Bhadreshwar	1.0
Bhadreshwar	Noble.Nagar	1.0
Bhadreshwar	Hansol	1.0
Bhadreshwar	Kotarpur.Water.Works	2.0
Bhadreshwar	Ambawadi.Police.Station	1.0
Bhadreshwar	Kotarpur.Approach	1.0
Noble.Nagar	Ruby.Coach.Builders	1.0
Noble.Nagar	Nana.Chiloda	1.0
Ruby.Coach.Builders	Nana.Chiloda	1.0
Nana.Chiloda	Shrinath.Nagar	1.0
Nana.Chiloda	Shrinivas	1.0
Shrinath.Nagar	Chiloda.Municipal.Octroi.Post	1.0
Chiloda.Municipal.Octroi.Post	Nigam.Society	1.0
Vrindavan.Society	Punit.Nagar	1.0
Vrindavan.Society	Punitnagar.Cross.Road	1.0
Punit.Nagar	Maninagar	1.0
Punit.Nagar	Jagadish.Society	1.0
Punit.Nagar	Cadila	1.0
Jagadish.Society	Punit.Nagar	1.0
Jagadish.Society	Ghodasar	1.0
Ghodasar	Dakshini.Society	2.0
Ghodasar	Avkar.Hall	1.0
Ghodasar	Cadila.Laboratory	1.0
Ghodasar	Aradhana.High.School	1.0
Ghodasar	Punitnagar.Cross.Road	1.0
Balvatika	Pushpkunj	2.0
Balvatika	Abad.Dairy	1.0
Balvatika	Kankaria.Zoo	1.0
Balvatika	Raipur.Darwaja	1.0
Balvatika	Ramanand.Kot	1.0
Balvatika	Punit.Ashram	1.0
Kankaria.Zoo	Abad.Dairy	3.0
Kankaria.Zoo	Ramanand.Kot	1.0
